Amount Effective from January to March 2020/Montant en vigueur en janvier à mars 2020,,,
Yearly Income (excluding OAS Pension and GIS) From,Yearly Income (excluding OAS Pension and GIS) To,Monthly GIS with Maximum OAS Pension ($),Combined Monthly OAS Pension and GIS ($)
Revenu annuel (sauf la pension de la SV et le SRG) De,Revenu annuel (sauf la pension de la SV et le SRG) ·,SRG mensuel pour montant maximal de la pension de la SV ($),Total mensuel de la pension de la SV et du SRG ($)
"5,072.00","5,087.99",641.38,"1,254.91"
"5,088.00","5,111.99",640.38,"1,253.91"
"5,112.00","5,119.99",639.38,"1,252.91"
"5,120.00","5,135.99",638.38,"1,251.91"
"5,136.00","5,159.99",637.38,"1,250.91"
"5,160.00","5,167.99",636.38,"1,249.91"
"5,168.00","5,183.99",635.38,"1,248.91"
"5,184.00","5,207.99",634.38,"1,247.91"
"5,208.00","5,215.99",633.38,"1,246.91"
"5,216.00","5,231.99",632.38,"1,245.91"
"5,232.00","5,255.99",631.38,"1,244.91"
"5,256.00","5,263.99",630.38,"1,243.91"
"5,264.00","5,279.99",629.38,"1,242.91"
"5,280.00","5,303.99",628.38,"1,241.91"
"5,304.00","5,311.99",627.38,"1,240.91"
"5,312.00","5,327.99",626.38,"1,239.91"
"5,328.00","5,351.99",625.38,"1,238.91"
"5,352.00","5,359.99",624.38,"1,237.91"
"5,360.00","5,375.99",623.38,"1,236.91"
"5,376.00","5,399.99",622.38,"1,235.91"
"5,400.00","5,407.99",621.38,"1,234.91"
"5,408.00","5,423.99",620.38,"1,233.91"
"5,424.00","5,447.99",619.38,"1,232.91"
"5,448.00","5,455.99",618.38,"1,231.91"
"5,456.00","5,471.99",617.38,"1,230.91"
"5,472.00","5,495.99",616.38,"1,229.91"
"5,496.00","5,503.99",615.38,"1,228.91"
"5,504.00","5,519.99",614.38,"1,227.91"
"5,520.00","5,543.99",613.38,"1,226.91"
"5,544.00","5,551.99",612.38,"1,225.91"
"5,552.00","5,567.99",611.38,"1,224.91"
"5,568.00","5,591.99",610.38,"1,223.91"
"5,592.00","5,599.99",609.38,"1,222.91"
"5,600.00","5,615.99",608.38,"1,221.91"
"5,616.00","5,639.99",607.38,"1,220.91"
"5,640.00","5,647.99",606.38,"1,219.91"
