Amount Effective from January to March 2020/Montant en vigueur en janvier à mars 2020,,,
Combined Yearly Income of couple (excluding OAS Pension and GIS) From ($),Combined Yearly Income of couple (excluding OAS Pension and GIS) To ($),Total Monthly GIS with Maximum OAS Pension ($),Combined Monthly OAS Pension and GIS ($)
Revenu annuel du couple (sauf la pension de la SV et le SRG) De ($),Revenu annuel du couple (sauf la pension de la SV et le SRG) À ($),Total mensuel pour le SRG pour montant maximal de la pension de la SV ($),Total mensuel de la pension de la SV et du SRG ($)
"16,096.00","16,127.99",609.38,"1,222.91"
"16,128.00","16,175.99",608.38,"1,221.91"
"16,176.00","16,191.99",607.38,"1,220.91"
"16,192.00","16,223.99",606.38,"1,219.91"
"16,224.00","16,271.99",605.38,"1,218.91"
"16,272.00","16,287.99",604.38,"1,217.91"
"16,288.00","16,319.99",603.38,"1,216.91"
"16,320.00","16,367.99",602.38,"1,215.91"
"16,368.00","16,383.99",601.38,"1,214.91"
"16,384.00","16,415.99",600.38,"1,213.91"
"16,416.00","16,463.99",599.38,"1,212.91"
"16,464.00","16,479.99",598.38,"1,211.91"
"16,480.00","16,511.99",597.38,"1,210.91"
"16,512.00","16,559.99",596.38,"1,209.91"
"16,560.00","16,575.99",595.38,"1,208.91"
"16,576.00","16,607.99",594.38,"1,207.91"
"16,608.00","16,655.99",593.38,"1,206.91"
"16,656.00","16,671.99",592.38,"1,205.91"
"16,672.00","16,703.99",591.38,"1,204.91"
"16,704.00","16,751.99",590.38,"1,203.91"
"16,752.00","16,767.99",589.38,"1,202.91"
"16,768.00","16,799.99",588.38,"1,201.91"
"16,800.00","16,847.99",587.38,"1,200.91"
"16,848.00","16,863.99",586.38,"1,199.91"
"16,864.00","16,895.99",585.38,"1,198.91"
"16,896.00","16,943.99",584.38,"1,197.91"
"16,944.00","16,959.99",583.38,"1,196.91"
"16,960.00","16,991.99",582.38,"1,195.91"
"16,992.00","17,039.99",581.38,"1,194.91"
"17,040.00","17,055.99",580.38,"1,193.91"
"17,056.00","17,087.99",579.38,"1,192.91"
"17,088.00","17,135.99",578.38,"1,191.91"
"17,136.00","17,151.99",577.38,"1,190.91"
"17,152.00","17,183.99",576.38,"1,189.91"
"17,184.00","17,231.99",575.38,"1,188.91"
"17,232.00","17,247.99",574.38,"1,187.91"
"17,248.00","17,279.99",573.38,"1,186.91"
"17,280.00","17,327.99",572.38,"1,185.91"
"17,328.00","17,343.99",571.38,"1,184.91"
"17,344.00","17,375.99",570.38,"1,183.91"
"17,376.00","17,423.99",569.38,"1,182.91"
"17,424.00","17,439.99",568.38,"1,181.91"
"17,440.00","17,471.99",567.38,"1,180.91"
"17,472.00","17,519.99",566.38,"1,179.91"
"17,520.00","17,535.99",565.38,"1,178.91"
"17,536.00","17,567.99",564.38,"1,177.91"
"17,568.00","17,615.99",563.38,"1,176.91"
"17,616.00","17,631.99",562.38,"1,175.91"
"17,632.00","17,663.99",561.44,"1,174.97"
"17,664.00","17,711.99",560.44,"1,173.97"
"17,712.00","17,759.99",559.44,"1,172.97"
"17,760.00","17,807.99",558.44,"1,171.97"
"17,808.00","17,855.99",557.44,"1,170.97"
"17,856.00","17,903.99",556.44,"1,169.97"
"17,904.00","17,951.99",555.44,"1,168.97"
"17,952.00","17,999.99",554.44,"1,167.97"
"18,000.00","18,047.99",553.44,"1,166.97"
"18,048.00","18,095.99",552.44,"1,165.97"
"18,096.00","18,143.99",551.44,"1,164.97"
"18,144.00","18,191.99",550.44,"1,163.97"
"18,192.00","18,239.99",549.44,"1,162.97"
"18,240.00","18,287.99",548.44,"1,161.97"
"18,288.00","18,335.99",547.44,"1,160.97"
"18,336.00","18,383.99",546.44,"1,159.97"
"18,384.00","18,431.99",545.44,"1,158.97"
"18,432.00","18,479.99",544.44,"1,157.97"
"18,480.00","18,527.99",543.44,"1,156.97"
"18,528.00","18,575.99",542.44,"1,155.97"
"18,576.00","18,623.99",541.44,"1,154.97"
"18,624.00","18,671.99",540.44,"1,153.97"
"18,672.00","18,719.99",539.44,"1,152.97"
"18,720.00","18,767.99",538.44,"1,151.97"
"18,768.00","18,815.99",537.44,"1,150.97"
"18,816.00","18,863.99",536.44,"1,149.97"
"18,864.00","18,911.99",535.44,"1,148.97"
"18,912.00","18,959.99",534.44,"1,147.97"
"18,960.00","19,007.99",533.44,"1,146.97"
"19,008.00","19,055.99",532.44,"1,145.97"
"19,056.00","19,103.99",531.44,"1,144.97"
"19,104.00","19,151.99",530.44,"1,143.97"
"19,152.00","19,199.99",529.44,"1,142.97"
"19,200.00","19,247.99",528.44,"1,141.97"
"19,248.00","19,295.99",527.44,"1,140.97"
"19,296.00","19,343.99",526.44,"1,139.97"
"19,344.00","19,391.99",525.44,"1,138.97"
"19,392.00","19,439.99",524.44,"1,137.97"
"19,440.00","19,487.99",523.44,"1,136.97"
"19,488.00","19,535.99",522.44,"1,135.97"
"19,536.00","19,583.99",521.44,"1,134.97"
"19,584.00","19,631.99",520.44,"1,133.97"
"19,632.00","19,679.99",519.44,"1,132.97"
"19,680.00","19,727.99",518.44,"1,131.97"
"19,728.00","19,775.99",517.44,"1,130.97"
"19,776.00","19,823.99",516.44,"1,129.97"
"19,824.00","19,871.99",515.44,"1,128.97"
"19,872.00","19,919.99",514.44,"1,127.97"
"19,920.00","19,967.99",513.44,"1,126.97"
"19,968.00","20,015.99",512.44,"1,125.97"
"20,016.00","20,063.99",511.44,"1,124.97"
"20,064.00","20,111.99",510.44,"1,123.97"
"20,112.00","20,159.99",509.44,"1,122.97"
"20,160.00","20,207.99",508.44,"1,121.97"
"20,208.00","20,255.99",507.44,"1,120.97"
"20,256.00","20,303.99",506.44,"1,119.97"
"20,304.00","20,351.99",505.44,"1,118.97"
"20,352.00","20,399.99",504.44,"1,117.97"
"20,400.00","20,447.99",503.44,"1,116.97"
"20,448.00","20,495.99",502.44,"1,115.97"
"20,496.00","20,543.99",501.44,"1,114.97"
"20,544.00","20,591.99",500.44,"1,113.97"
"20,592.00","20,639.99",499.44,"1,112.97"
"20,640.00","20,687.99",498.44,"1,111.97"
"20,688.00","20,735.99",497.44,"1,110.97"
"20,736.00","20,783.99",496.44,"1,109.97"
"20,784.00","20,831.99",495.44,"1,108.97"
"20,832.00","20,879.99",494.44,"1,107.97"
"20,880.00","20,927.99",493.44,"1,106.97"
"20,928.00","20,975.99",492.44,"1,105.97"
"20,976.00","21,023.99",491.44,"1,104.97"
"21,024.00","21,071.99",490.44,"1,103.97"
"21,072.00","21,119.99",489.44,"1,102.97"
"21,120.00","21,167.99",488.44,"1,101.97"
"21,168.00","21,215.99",487.44,"1,100.97"
"21,216.00","21,263.99",486.44,"1,099.97"
"21,264.00","21,311.99",485.44,"1,098.97"
"21,312.00","21,359.99",484.44,"1,097.97"
"21,360.00","21,407.99",483.44,"1,096.97"
"21,408.00","21,455.99",482.44,"1,095.97"
"21,456.00","21,503.99",481.44,"1,094.97"
"21,504.00","21,551.99",480.44,"1,093.97"
"21,552.00","21,599.99",479.44,"1,092.97"
"21,600.00","21,647.99",478.44,"1,091.97"
"21,648.00","21,695.99",477.44,"1,090.97"
"21,696.00","21,743.99",476.44,"1,089.97"
"21,744.00","21,791.99",475.44,"1,088.97"
"21,792.00","21,839.99",474.44,"1,087.97"
"21,840.00","21,887.99",473.44,"1,086.97"
"21,888.00","21,935.99",472.44,"1,085.97"
"21,936.00","21,983.99",471.44,"1,084.97"
"21,984.00","22,031.99",470.44,"1,083.97"
"22,032.00","22,079.99",469.44,"1,082.97"
"22,080.00","22,127.99",468.44,"1,081.97"
"22,128.00","22,175.99",467.44,"1,080.97"
"22,176.00","22,223.99",466.44,"1,079.97"
"22,224.00","22,271.99",465.44,"1,078.97"
"22,272.00","22,319.99",464.44,"1,077.97"
"22,320.00","22,367.99",463.44,"1,076.97"
"22,368.00","22,415.99",462.44,"1,075.97"
"22,416.00","22,463.99",461.44,"1,074.97"
"22,464.00","22,511.99",460.44,"1,073.97"
"22,512.00","22,559.99",459.44,"1,072.97"
"22,560.00","22,607.99",458.44,"1,071.97"
"22,608.00","22,655.99",457.44,"1,070.97"
"22,656.00","22,703.99",456.44,"1,069.97"
"22,704.00","22,751.99",455.44,"1,068.97"
"22,752.00","22,799.99",454.44,"1,067.97"
"22,800.00","22,847.99",453.44,"1,066.97"
"22,848.00","22,895.99",452.44,"1,065.97"
"22,896.00","22,943.99",451.44,"1,064.97"
"22,944.00","22,991.99",450.44,"1,063.97"
"22,992.00","23,039.99",449.44,"1,062.97"
"23,040.00","23,087.99",448.44,"1,061.97"
"23,088.00","23,135.99",447.44,"1,060.97"
"23,136.00","23,183.99",446.44,"1,059.97"
"23,184.00","23,231.99",445.44,"1,058.97"
"23,232.00","23,279.99",444.44,"1,057.97"
"23,280.00","23,327.99",443.44,"1,056.97"
"23,328.00","23,375.99",442.44,"1,055.97"
"23,376.00","23,423.99",441.44,"1,054.97"
"23,424.00","23,471.99",440.44,"1,053.97"
"23,472.00","23,519.99",439.44,"1,052.97"
"23,520.00","23,567.99",438.44,"1,051.97"
"23,568.00","23,615.99",437.44,"1,050.97"
"23,616.00","23,663.99",436.44,"1,049.97"
"23,664.00","23,711.99",435.44,"1,048.97"
"23,712.00","23,759.99",434.44,"1,047.97"
"23,760.00","23,807.99",433.44,"1,046.97"
"23,808.00","23,855.99",432.44,"1,045.97"
"23,856.00","23,903.99",431.44,"1,044.97"
"23,904.00","23,951.99",430.44,"1,043.97"
"23,952.00","23,999.99",429.44,"1,042.97"
"24,000.00","24,047.99",428.44,"1,041.97"
"24,048.00","24,095.99",427.44,"1,040.97"
"24,096.00","24,143.99",426.44,"1,039.97"
"24,144.00","24,191.99",425.44,"1,038.97"
"24,192.00","24,239.99",424.44,"1,037.97"
"24,240.00","24,287.99",423.44,"1,036.97"
"24,288.00","24,335.99",422.44,"1,035.97"
"24,336.00","24,383.99",421.44,"1,034.97"
"24,384.00","24,431.99",420.44,"1,033.97"
"24,432.00","24,479.99",419.44,"1,032.97"
"24,480.00","24,527.99",418.44,"1,031.97"
"24,528.00","24,575.99",417.44,1030.97
"24,576.00","24,623.99",416.44,1029.97
"24,624.00","24,671.99",415.44,1028.97
"24,672.00","24,719.99",414.44,1027.97
"24,720.00","24,767.99",413.44,1026.97
"24,768.00","24,815.99",412.44,1025.97
"24,816.00","24,863.99",411.44,1024.97
"24,864.00","24,911.99",410.44,1023.97
"24,912.00","24,959.99",409.44,1022.97
"24,960.00","25,007.99",408.44,1021.97
"25,008.00","25,055.99",407.44,1020.97
"25,056.00","25,103.99",406.44,1019.97
"25,104.00","25,151.99",405.44,1018.97
"25,152.00","25,199.99",404.44,1017.97
"25,200.00","25,247.99",403.44,1016.97
"25,248.00","25,295.99",402.44,1015.97
"25,296.00","25,343.99",401.44,1014.97
"25,344.00","25,391.99",400.44,1013.97
"25,392.00","25,439.99",399.44,1012.97
"25,440.00","25,487.99",398.44,1011.97
"25,488.00","25,535.99",397.44,1010.97
"25,536.00","25,583.99",396.44,1009.97
