Amount Effective from October to December 2021/Montant en vigueur en octobre à décembre 2021,,,
Combined Yearly Income of couple (excluding OAS Pension and GIS) From ($),Combined Yearly Income of couple (excluding OAS Pension and GIS) To ($),Total Monthly GIS with Maximum OAS Pension ($),Combined Monthly OAS Pension and GIS ($)
Revenu annuel du couple (sauf la pension de la SV et le SRG) De ($),Revenu annuel du couple (sauf la pension de la SV et le SRG) À ($),Total mensuel pour le SRG pour montant maximal de la pension de la SV ($),Total mensuel de la pension de la SV et du SRG ($)
"16,480.00","16,511.99",634.82,"1,270.08"
"16,512.00","16,559.99",633.82,"1,269.08"
"16,560.00","16,575.99",632.82,"1,268.08"
"16,576.00","16,607.99",631.82,"1,267.08"
"16,608.00","16,655.99",630.82,"1,266.08"
"16,656.00","16,671.99",629.82,"1,265.08"
"16,672.00","16,703.99",628.82,"1,264.08"
"16,704.00","16,751.99",627.82,"1,263.08"
"16,752.00","16,767.99",626.82,"1,262.08"
"16,768.00","16,799.99",625.82,"1,261.08"
"16,800.00","16,847.99",624.82,"1,260.08"
"16,848.00","16,863.99",623.82,"1,259.08"
"16,864.00","16,895.99",622.82,"1,258.08"
"16,896.00","16,943.99",621.82,"1,257.08"
"16,944.00","16,959.99",620.82,"1,256.08"
"16,960.00","16,991.99",619.82,"1,255.08"
"16,992.00","17,039.99",618.82,"1,254.08"
"17,040.00","17,055.99",617.82,"1,253.08"
"17,056.00","17,087.99",616.82,"1,252.08"
"17,088.00","17,135.99",615.82,"1,251.08"
"17,136.00","17,151.99",614.82,"1,250.08"
"17,152.00","17,183.99",613.82,"1,249.08"
"17,184.00","17,231.99",612.82,"1,248.08"
"17,232.00","17,247.99",611.82,"1,247.08"
"17,248.00","17,279.99",610.82,"1,246.08"
"17,280.00","17,327.99",609.82,"1,245.08"
"17,328.00","17,343.99",608.82,"1,244.08"
"17,344.00","17,375.99",607.82,"1,243.08"
"17,376.00","17,423.99",606.82,"1,242.08"
"17,424.00","17,439.99",605.82,"1,241.08"
"17,440.00","17,471.99",604.82,"1,240.08"
"17,472.00","17,519.99",603.82,"1,239.08"
"17,520.00","17,535.99",602.82,"1,238.08"
"17,536.00","17,567.99",601.82,"1,237.08"
"17,568.00","17,615.99",600.82,"1,236.08"
"17,616.00","17,631.99",599.82,"1,235.08"
"17,632.00","17,663.99",598.82,"1,234.08"
"17,664.00","17,711.99",597.82,"1,233.08"
"17,712.00","17,727.99",596.82,"1,232.08"
"17,728.00","17,759.99",595.82,"1,231.08"
"17,760.00","17,807.99",594.82,"1,230.08"
"17,808.00","17,823.99",593.82,"1,229.08"
"17,824.00","17,855.99",592.82,"1,228.08"
"17,856.00","17,903.99",591.82,"1,227.08"
"17,904.00","17,919.99",590.82,"1,226.08"
"17,920.00","17,951.99",589.82,"1,225.08"
"17,952.00","17,999.99",588.82,"1,224.08"
"18,000.00","18,015.99",587.82,"1,223.08"
"18,016.00","18,047.99",586.82,"1,222.08"
"18,048.00","18,095.99",585.82,"1,221.08"
"18,096.00","18,111.99",584.82,"1,220.08"
"18,112.00","18,143.99",583.86,"1,219.12"
"18,144.00","18,191.99",582.86,"1,218.12"
"18,192.00","18,239.99",581.86,"1,217.12"
"18,240.00","18,287.99",580.86,"1,216.12"
"18,288.00","18,335.99",579.86,"1,215.12"
"18,336.00","18,383.99",578.86,"1,214.12"
"18,384.00","18,431.99",577.86,"1,213.12"
"18,432.00","18,479.99",576.86,"1,212.12"
"18,480.00","18,527.99",575.86,"1,211.12"
"18,528.00","18,575.99",574.86,"1,210.12"
"18,576.00","18,623.99",573.86,"1,209.12"
"18,624.00","18,671.99",572.86,"1,208.12"
"18,672.00","18,719.99",571.86,"1,207.12"
"18,720.00","18,767.99",570.86,"1,206.12"
"18,768.00","18,815.99",569.86,"1,205.12"
"18,816.00","18,863.99",568.86,"1,204.12"
"18,864.00","18,911.99",567.86,"1,203.12"
"18,912.00","18,959.99",566.86,"1,202.12"
"18,960.00","19,007.99",565.86,"1,201.12"
"19,008.00","19,055.99",564.86,"1,200.12"
"19,056.00","19,103.99",563.86,"1,199.12"
"19,104.00","19,151.99",562.86,"1,198.12"
"19,152.00","19,199.99",561.86,"1,197.12"
"19,200.00","19,247.99",560.86,"1,196.12"
"19,248.00","19,295.99",559.86,"1,195.12"
"19,296.00","19,343.99",558.86,"1,194.12"
"19,344.00","19,391.99",557.86,"1,193.12"
"19,392.00","19,439.99",556.86,"1,192.12"
"19,440.00","19,487.99",555.86,"1,191.12"
"19,488.00","19,535.99",554.86,"1,190.12"
"19,536.00","19,583.99",553.86,"1,189.12"
"19,584.00","19,631.99",552.86,"1,188.12"
"19,632.00","19,679.99",551.86,"1,187.12"
"19,680.00","19,727.99",550.86,"1,186.12"
"19,728.00","19,775.99",549.86,"1,185.12"
"19,776.00","19,823.99",548.86,"1,184.12"
"19,824.00","19,871.99",547.86,"1,183.12"
"19,872.00","19,919.99",546.86,"1,182.12"
"19,920.00","19,967.99",545.86,"1,181.12"
"19,968.00","20,015.99",544.86,"1,180.12"
"20,016.00","20,063.99",543.86,"1,179.12"
"20,064.00","20,111.99",542.86,"1,178.12"
"20,112.00","20,159.99",541.86,"1,177.12"
"20,160.00","20,207.99",540.86,"1,176.12"
"20,208.00","20,255.99",539.86,"1,175.12"
"20,256.00","20,303.99",538.86,"1,174.12"
"20,304.00","20,351.99",537.86,"1,173.12"
