Amount Effective from April to June 2022/Montant en vigueur en avril à juin 2022,,,
Combined Yearly Income of couple (excluding OAS Pension and GIS) From ($),Combined Yearly Income of couple (excluding OAS Pension and GIS) To ($),Monthly GIS with Maximum OAS Pension for each recipient ($),Combined Monthly OAS Pension and GIS ($)
Revenu annuel du couple (sauf la pension de la SV et le SRG) De ($),Revenu annuel du couple (sauf la pension de la SV et le SRG) · ($),SRG mensuel pour montant maximal de la pension de la SV pour chaque b‚n‚ficiaire ($),Total mensuel de la pension de la SV et du SRG ($)
"14,880.00","14,927.99",230.68,879.35
"14,928.00","14,975.99",229.68,878.35
"14,976.00","15,023.99",228.68,877.35
"15,024.00","15,071.99",227.68,876.35
"15,072.00","15,119.99",226.68,875.35
"15,120.00","15,167.99",225.68,874.35
"15,168.00","15,215.99",224.68,873.35
"15,216.00","15,263.99",223.68,872.35
"15,264.00","15,311.99",222.68,871.35
"15,312.00","15,359.99",221.68,870.35
"15,360.00","15,407.99",220.68,869.35
"15,408.00","15,455.99",219.68,868.35
"15,456.00","15,503.99",218.68,867.35
"15,504.00","15,551.99",217.68,866.35
"15,552.00","15,599.99",216.68,865.35
"15,600.00","15,647.99",215.68,864.35
"15,648.00","15,695.99",214.68,863.35
"15,696.00","15,743.99",213.68,862.35
"15,744.00","15,791.99",212.68,861.35
"15,792.00","15,839.99",211.68,860.35
"15,840.00","15,887.99",210.68,859.35
"15,888.00","15,935.99",209.68,858.35
"15,936.00","15,983.99",208.68,857.35
"15,984.00","16,031.99",207.68,856.35
"16,032.00","16,079.99",206.68,855.35
"16,080.00","16,127.99",205.68,854.35
"16,128.00","16,175.99",204.68,853.35
"16,176.00","16,223.99",203.68,852.35
"16,224.00","16,271.99",202.68,851.35
"16,272.00","16,319.99",201.68,850.35
"16,320.00","16,367.99",200.68,849.35
"16,368.00","16,415.99",199.68,848.35
"16,416.00","16,463.99",198.68,847.35
"16,464.00","16,511.99",197.68,846.35
"16,512.00","16,559.99",196.68,845.35
"16,560.00","16,607.99",195.68,844.35
"16,608.00","16,655.99",194.68,843.35
"16,656.00","16,703.99",193.68,842.35
"16,704.00","16,751.99",192.68,841.35
"16,752.00","16,799.99",191.68,840.35
"16,800.00","16,847.99",190.68,839.35
"16,848.00","16,895.99",189.68,838.35
"16,896.00","16,943.99",188.68,837.35
"16,944.00","16,991.99",187.68,836.35
"16,992.00","17,039.99",186.68,835.35
"17,040.00","17,087.99",185.68,834.35
"17,088.00","17,135.99",184.68,833.35
"17,136.00","17,183.99",183.68,832.35
"17,184.00","17,231.99",182.68,831.35
"17,232.00","17,279.99",181.68,830.35
"17,280.00","17,327.99",180.68,829.35
"17,328.00","17,375.99",179.68,828.35
"17,376.00","17,423.99",178.68,827.35
"17,424.00","17,471.99",177.68,826.35
"17,472.00","17,519.99",176.68,825.35
"17,520.00","17,567.99",175.68,824.35
"17,568.00","17,615.99",174.68,823.35
"17,616.00","17,663.99",173.68,822.35
"17,664.00","17,711.99",172.68,821.35
"17,712.00","17,759.99",171.68,820.35
"17,760.00","17,807.99",170.68,819.35
"17,808.00","17,855.99",169.68,818.35
"17,856.00","17,903.99",168.68,817.35
"17,904.00","17,951.99",167.68,816.35
"17,952.00","17,999.99",166.68,815.35
"18,000.00","18,047.99",165.68,814.35
"18,048.00","18,095.99",164.68,813.35
"18,096.00","18,143.99",163.68,812.35
"18,144.00","18,191.99",162.68,811.35
"18,192.00","18,239.99",161.68,810.35
"18,240.00","18,287.99",160.68,809.35
"18,288.00","18,335.99",159.68,808.35
"18,336.00","18,383.99",158.68,807.35
"18,384.00","18,431.99",157.68,806.35
"18,432.00","18,479.99",156.68,805.35
"18,480.00","18,527.99",155.68,804.35
"18,528.00","18,575.99",154.68,803.35
"18,576.00","18,623.99",153.68,802.35
"18,624.00","18,671.99",152.68,801.35
"18,672.00","18,719.99",151.68,800.35
"18,720.00","18,767.99",150.68,799.35
"18,768.00","18,815.99",149.68,798.35
"18,816.00","18,863.99",148.68,797.35
"18,864.00","18,911.99",147.68,796.35
"18,912.00","18,959.99",146.68,795.35
"18,960.00","19,007.99",145.68,794.35
"19,008.00","19,055.99",144.68,793.35
"19,056.00","19,103.99",143.68,792.35
"19,104.00","19,151.99",142.68,791.35
"19,152.00","19,199.99",141.68,790.35
"19,200.00","19,247.99",140.68,789.35
"19,248.00","19,295.99",139.68,788.35
"19,296.00","19,343.99",138.68,787.35
"19,344.00","19,391.99",137.68,786.35
"19,392.00","19,439.99",136.68,785.35
"19,440.00","19,487.99",135.68,784.35
"19,488.00","19,535.99",134.68,783.35
"19,536.00","19,583.99",133.68,782.35
"19,584.00","19,631.99",132.68,781.35
"19,632.00","19,679.99",131.68,780.35
"19,680.00","19,727.99",130.68,779.35
"19,728.00","19,775.99",129.68,778.35
"19,776.00","19,823.99",128.68,777.35
"19,824.00","19,871.99",127.68,776.35
"19,872.00","19,919.99",126.68,775.35
"19,920.00","19,967.99",125.68,774.35
"19,968.00","20,015.99",124.68,773.35
"20,016.00","20,063.99",123.68,772.35
"20,064.00","20,111.99",122.68,771.35
"20,112.00","20,159.99",121.68,770.35
"20,160.00","20,207.99",120.68,769.35
"20,208.00","20,255.99",119.68,768.35
"20,256.00","20,303.99",118.68,767.35
"20,304.00","20,351.99",117.68,766.35
"20,352.00","20,399.99",116.68,765.35
"20,400.00","20,447.99",115.68,764.35
"20,448.00","20,495.99",114.68,763.35
"20,496.00","20,543.99",113.68,762.35
"20,544.00","20,591.99",112.68,761.35
"20,592.00","20,639.99",111.68,760.35
"20,640.00","20,687.99",110.68,759.35
"20,688.00","20,735.99",109.68,758.35
"20,736.00","20,783.99",108.68,757.35
"20,784.00","20,831.99",107.68,756.35
"20,832.00","20,879.99",106.68,755.35
"20,880.00","20,927.99",105.68,754.35
"20,928.00","20,975.99",104.68,753.35
"20,976.00","21,023.99",103.68,752.35
"21,024.00","21,071.99",102.68,751.35
"21,072.00","21,119.99",101.68,750.35
"21,120.00","21,167.99",100.68,749.35
"21,168.00","21,215.99",99.68,748.35
"21,216.00","21,263.99",98.68,747.35
"21,264.00","21,311.99",97.68,746.35
"21,312.00","21,359.99",96.68,745.35
"21,360.00","21,407.99",95.68,744.35
"21,408.00","21,455.99",94.68,743.35
"21,456.00","21,503.99",93.68,742.35
"21,504.00","21,551.99",92.68,741.35
"21,552.00","21,599.99",91.68,740.35
"21,600.00","21,647.99",90.68,739.35
"21,648.00","21,695.99",89.68,738.35
"21,696.00","21,743.99",88.68,737.35
"21,744.00","21,791.99",87.68,736.35
"21,792.00","21,839.99",86.68,735.35
"21,840.00","21,887.99",85.68,734.35
"21,888.00","21,935.99",84.68,733.35
"21,936.00","21,983.99",83.68,732.35
"21,984.00","22,031.99",82.68,731.35
"22,032.00","22,079.99",81.68,730.35
"22,080.00","22,127.99",80.68,729.35
"22,128.00","22,175.99",79.68,728.35
"22,176.00","22,223.99",78.68,727.35
"22,224.00","22,271.99",77.68,726.35
"22,272.00","22,319.99",76.68,725.35
"22,320.00","22,367.99",75.68,724.35
"22,368.00","22,415.99",74.68,723.35
"22,416.00","22,463.99",73.68,722.35
"22,464.00","22,511.99",72.68,721.35
"22,512.00","22,559.99",71.68,720.35
"22,560.00","22,607.99",70.68,719.35
"22,608.00","22,655.99",69.68,718.35
"22,656.00","22,703.99",68.68,717.35
"22,704.00","22,751.99",67.68,716.35
"22,752.00","22,799.99",66.68,715.35
"22,800.00","22,847.99",65.68,714.35
"22,848.00","22,895.99",64.68,713.35
"22,896.00","22,943.99",63.68,712.35
"22,944.00","22,991.99",62.68,711.35
"22,992.00","23,039.99",61.68,710.35
"23,040.00","23,087.99",60.68,709.35
"23,088.00","23,135.99",59.68,708.35
"23,136.00","23,183.99",58.68,707.35
"23,184.00","23,231.99",57.68,706.35
"23,232.00","23,279.99",56.68,705.35
"23,280.00","23,327.99",55.68,704.35
"23,328.00","23,375.99",54.68,703.35
"23,376.00","23,423.99",53.68,702.35
"23,424.00","23,471.99",52.68,701.35
"23,472.00","23,519.99",51.68,700.35
"23,520.00","23,567.99",50.68,699.35
"23,568.00","23,615.99",49.68,698.35
"23,616.00","23,663.99",48.68,697.35
"23,664.00","23,711.99",47.68,696.35
"23,712.00","23,759.99",46.68,695.35
"23,760.00","23,807.99",45.68,694.35
"23,808.00","23,855.99",44.68,693.35
"23,856.00","23,903.99",43.68,692.35
"23,904.00","23,951.99",42.68,691.35
"23,952.00","23,999.99",41.68,690.35
"24,000.00","24,047.99",40.68,689.35
"24,048.00","24,095.99",39.68,688.35
"24,096.00","24,143.99",38.68,687.35
"24,144.00","24,191.99",37.68,686.35
"24,192.00","24,239.99",36.68,685.35
"24,240.00","24,287.99",35.68,684.35
"24,288.00","24,335.99",34.68,683.35
"24,336.00","24,383.99",33.68,682.35
"24,384.00","24,431.99",32.68,681.35
"24,432.00","24,479.99",31.68,680.35
"24,480.00","24,527.99",30.68,679.35
"24,528.00","24,575.99",29.68,678.35
"24,576.00","24,623.99",28.68,677.35
"24,624.00","24,671.99",27.68,676.35
"24,672.00","24,719.99",26.68,675.35
"24,720.00","24,767.99",25.68,674.35
"24,768.00","24,815.99",24.68,673.35
"24,816.00","24,863.99",23.68,672.35
"24,864.00","24,911.99",22.68,671.35
"24,912.00","24,959.99",21.68,670.35
"24,960.00","25,007.99",20.68,669.35
"25,008.00","25,055.99",19.68,668.35
"25,056.00","25,103.99",18.68,667.35
"25,104.00","25,151.99",17.68,666.35
"25,152.00","25,199.99",16.68,665.35
"25,200.00","25,247.99",15.68,664.35
"25,248.00","25,295.99",14.68,663.35
"25,296.00","25,343.99",13.68,662.35
"25,344.00","25,391.99",12.68,661.35
"25,392.00","25,439.99",11.68,660.35
"25,440.00","25,487.99",10.68,659.35
"25,488.00","25,535.99",9.68,658.35
