Amount Effective from April to June 2022/Montant en vigueur en avril à juin 2022,,,
Combined Yearly Income of couple (excluding OAS Pension and GIS) From ($),Combined Yearly Income of couple (excluding OAS Pension and GIS) To ($),Total Monthly GIS with Maximum OAS Pension ($),Combined Monthly OAS Pension and GIS ($)
Revenu annuel du couple (sauf la pension de la SV et le SRG) De ($),Revenu annuel du couple (sauf la pension de la SV et le SRG) À ($),Total mensuel pour le SRG pour montant maximal de la pension de la SV ($),Total mensuel de la pension de la SV et du SRG ($)
"22,752.00","22,799.99",507.79,"1,156.46"
"22,800.00","22,847.99",506.79,"1,155.46"
"22,848.00","22,895.99",505.79,"1,154.46"
"22,896.00","22,943.99",504.79,"1,153.46"
"22,944.00","22,991.99",503.79,"1,152.46"
"22,992.00","23,039.99",502.79,"1,151.46"
"23,040.00","23,087.99",501.79,"1,150.46"
"23,088.00","23,135.99",500.79,"1,149.46"
"23,136.00","23,183.99",499.79,"1,148.46"
"23,184.00","23,231.99",498.79,"1,147.46"
"23,232.00","23,279.99",497.79,"1,146.46"
"23,280.00","23,327.99",496.79,"1,145.46"
"23,328.00","23,375.99",495.79,"1,144.46"
"23,376.00","23,423.99",494.79,"1,143.46"
"23,424.00","23,471.99",493.79,"1,142.46"
"23,472.00","23,519.99",492.79,"1,141.46"
"23,520.00","23,567.99",491.79,"1,140.46"
"23,568.00","23,615.99",490.79,"1,139.46"
"23,616.00","23,663.99",489.79,"1,138.46"
"23,664.00","23,711.99",488.79,"1,137.46"
"23,712.00","23,759.99",487.79,"1,136.46"
"23,760.00","23,807.99",486.79,"1,135.46"
"23,808.00","23,855.99",485.79,"1,134.46"
"23,856.00","23,903.99",484.79,"1,133.46"
"23,904.00","23,951.99",483.79,"1,132.46"
"23,952.00","23,999.99",482.79,"1,131.46"
"24,000.00","24,047.99",481.79,"1,130.46"
"24,048.00","24,095.99",480.79,"1,129.46"
"24,096.00","24,143.99",479.79,"1,128.46"
"24,144.00","24,191.99",478.79,"1,127.46"
"24,192.00","24,239.99",477.79,"1,126.46"
"24,240.00","24,287.99",476.79,"1,125.46"
"24,288.00","24,335.99",475.79,"1,124.46"
"24,336.00","24,383.99",474.79,"1,123.46"
"24,384.00","24,431.99",473.79,"1,122.46"
"24,432.00","24,479.99",472.79,"1,121.46"
"24,480.00","24,527.99",471.79,"1,120.46"
"24,528.00","24,575.99",470.79,"1,119.46"
"24,576.00","24,623.99",469.79,"1,118.46"
"24,624.00","24,671.99",468.79,"1,117.46"
"24,672.00","24,719.99",467.79,"1,116.46"
"24,720.00","24,767.99",466.79,"1,115.46"
"24,768.00","24,815.99",465.79,"1,114.46"
"24,816.00","24,863.99",464.79,"1,113.46"
"24,864.00","24,911.99",463.79,"1,112.46"
"24,912.00","24,959.99",462.79,"1,111.46"
"24,960.00","25,007.99",461.79,"1,110.46"
"25,008.00","25,055.99",460.79,"1,109.46"
"25,056.00","25,103.99",459.79,"1,108.46"
"25,104.00","25,151.99",458.79,"1,107.46"
"25,152.00","25,199.99",457.79,"1,106.46"
"25,200.00","25,247.99",456.79,"1,105.46"
"25,248.00","25,295.99",455.79,"1,104.46"
"25,296.00","25,343.99",454.79,"1,103.46"
"25,344.00","25,391.99",453.79,"1,102.46"
"25,392.00","25,439.99",452.79,"1,101.46"
"25,440.00","25,487.99",451.79,"1,100.46"
