Amount Effective from April to June 2019/Montant en vigueur en avril à juin  2019,,,
Yearly Income (excluding OAS Pension and GIS) From,Yearly Income (excluding OAS Pension and GIS) To,Monthly GIS with Maximum OAS Pension ($),Combined Monthly OAS Pension and GIS ($)
Revenu annuel (sauf la pension de la SV et le SRG) De,Revenu annuel (sauf la pension de la SV et le SRG) À,SRG mensuel pour montant maximal de la pension de la SV ($),Total mensuel de la pension de la SV et du SRG ($)
"7,704.00","7,711.99",459.32,"1,060.77"
"7,712.00","7,727.99",458.32,"1,059.77"
"7,728.00","7,751.99",457.32,"1,058.77"
"7,752.00","7,759.99",456.32,"1,057.77"
"7,760.00","7,775.99",455.32,"1,056.77"
"7,776.00","7,799.99",454.32,"1,055.77"
"7,800.00","7,807.99",453.32,"1,054.77"
"7,808.00","7,823.99",452.32,"1,053.77"
"7,824.00","7,847.99",451.32,"1,052.77"
"7,848.00","7,855.99",450.32,"1,051.77"
"7,856.00","7,871.99",449.32,"1,050.77"
"7,872.00","7,895.99",448.32,"1,049.77"
"7,896.00","7,903.99",447.32,"1,048.77"
"7,904.00","7,919.99",446.32,"1,047.77"
"7,920.00","7,943.99",445.32,"1,046.77"
"7,944.00","7,951.99",444.32,"1,045.77"
"7,952.00","7,967.99",443.32,"1,044.77"
"7,968.00","7,991.99",442.32,"1,043.77"
"7,992.00","7,999.99",441.32,"1,042.77"
"8,000.00","8,015.99",440.32,"1,041.77"
"8,016.00","8,039.99",439.32,"1,040.77"
"8,040.00","8,047.99",438.32,"1,039.77"
"8,048.00","8,063.99",437.32,"1,038.77"
"8,064.00","8,087.99",436.32,"1,037.77"
"8,088.00","8,095.99",435.32,1036.77
"8,096.00","8,111.99",434.32,1035.77
"8,112.00","8,135.99",433.32,1034.77
"8,136.00","8,143.99",432.32,1033.77
"8,144.00","8,159.99",431.32,1032.77
"8,160.00","8,183.99",430.32,1031.77
"8,184.00","8,191.99",429.32,1030.77
"8,192.00","8,207.99",428.32,1029.77
"8,208.00","8,231.99",427.32,1028.77
"8,232.00","8,239.99",426.32,1027.77
"8,240.00","8,255.99",425.32,1026.77
"8,256.00","8,279.99",424.32,1025.77
"8,280.00","8,287.99",423.32,1024.77
"8,288.00","8,303.99",422.32,1023.77
"8,304.00","8,327.99",421.32,1022.77
"8,328.00","8,335.99",420.32,1021.77
"8,336.00","8,351.99",419.32,1020.77
"8,352.00","8,375.99",418.32,1019.77
"8,376.00","8,383.99",417.32,1018.77
"8,384.00","8,399.99",416.32,1017.77
"8,400.00","8,423.99",415.32,1016.77
"8,424.00","8,431.99",414.32,1015.77
"8,432.00","8,447.99",413.32,1014.77
"8,448.00","8,471.99",412.32,1013.77
"8,472.00","8,479.99",411.32,1012.77
"8,480.00","8,495.99",410.32,1011.77
"8,496.00","8,519.99",409.32,1010.77
"8,520.00","8,527.99",408.32,1009.77
"8,528.00","8,543.99",407.32,1008.77
"8,544.00","8,567.99",406.32,1007.77
"8,568.00","8,575.99",405.32,1006.77
"8,576.00","8,591.99",404.32,1005.77
"8,592.00","8,615.99",403.32,1004.77
"8,616.00","8,623.99",402.32,1003.77
"8,624.00","8,639.99",401.32,1002.77
"8,640.00","8,663.99",400.32,1001.77
"8,664.00","8,671.99",399.32,1000.77
"8,672.00","8,687.99",398.32,999.77
"8,688.00","8,711.99",397.32,998.77
"8,712.00","8,719.99",396.32,997.77
"8,720.00","8,735.99",396.18,997.63
"8,736.00","8,759.99",395.18,996.63
"8,760.00","8,783.99",394.18,995.63
"8,784.00","8,807.99",393.18,994.63
"8,808.00","8,831.99",392.18,993.63
"8,832.00","8,855.99",391.18,992.63
"8,856.00","8,879.99",390.18,991.63
"8,880.00","8,903.99",389.18,990.63
"8,904.00","8,927.99",388.18,989.63
"8,928.00","8,951.99",387.18,988.63
"8,952.00","8,975.99",386.18,987.63
"8,976.00","8,999.99",385.18,986.63
"9,000.00","9,023.99",384.18,985.63
"9,024.00","9,047.99",383.18,984.63
"9,048.00","9,071.99",382.18,983.63
"9,072.00","9,095.99",381.18,982.63
"9,096.00","9,119.99",380.18,981.63
"9,120.00","9,143.99",379.18,980.63
"9,144.00","9,167.99",378.18,979.63
"9,168.00","9,191.99",377.18,978.63
"9,192.00","9,215.99",376.18,977.63
"9,216.00","9,239.99",375.18,976.63
"9,240.00","9,263.99",374.18,975.63
"9,264.00","9,287.99",373.18,974.63
"9,288.00","9,311.99",372.18,973.63
"9,312.00","9,335.99",371.18,972.63
"9,336.00","9,359.99",370.18,971.63
"9,360.00","9,383.99",369.18,970.63
"9,384.00","9,407.99",368.18,969.63
"9,408.00","9,431.99",367.18,968.63
"9,432.00","9,455.99",366.18,967.63
"9,456.00","9,479.99",365.18,966.63
"9,480.00","9,503.99",364.18,965.63
"9,504.00","9,527.99",363.18,964.63
"9,528.00","9,551.99",362.18,963.63
"9,552.00","9,575.99",361.18,962.63
"9,576.00","9,599.99",360.18,961.63
"9,600.00","9,623.99",359.18,960.63
"9,624.00","9,647.99",358.18,959.63
"9,648.00","9,671.99",357.18,958.63
"9,672.00","9,695.99",356.18,957.63
